
**** VECTORS ****
completedTransactions:vector Network.server.processor (#0 - General-0-20200511-23:51:22-248131),
2.056810899556,1
2.946220668371,2
4.272185580342,3
6.394039530598,4
6.558670729095,5
6.976515732418,6
8.42028295879,7
12.026712629177,8
14.745307058242,9
15.081440940487,10
15.089028368167,11
15.473580743793,12
15.852379414663,13
18.510626149057,14
19.064975905935,15
21.077704368728,16
21.500834934069,17
21.904042632237,18
24.64802574618,19
25.038771375808,20
25.203771867777,21
26.327721516694,22
27.178507037018,23
31.194820574731,24
31.409784671116,25
31.587952455884,26
31.850210969629,27
32.316960380248,28
34.168219972283,29
34.974334795897,30
36.726361336217,31
37.959744974272,32
38.393936766483,33
38.650730025695,34
40.701678792148,35

**** STATISTICS ****
run,repetition,module,name,count,sumweights,mean,stddev,min,max
General-0-20200511-23:51:22-248131,0,Network.server.processor,completedTransactions:stats,35,,18,10.24695076596,1,35
