client;throughput;throughput
1;1.867631579;1.619846491
4;5.744842105;5.744842105
7;7.478736842;7.478736842
10;8.15;8.15
13;8.492657895;8.492657895
16;8.650236842;8.650236842
19;8.796684211;8.796684211
22;8.899789474;8.899789474
25;8.932605263;8.932605263
28;8.986815789;8.986815789
31;9.018631579;9.018631579
34;9.045289474;9.045289474
37;9.070394737;9.070394737
40;9.099052632;9.099052632
43;9.108736842;9.108736842
46;9.110105263;9.110105263
49;9.133947368;9.133947368
52;9.128210526;9.128210526
55;9.138763158;9.138763158
58;9.157657895;9.157657895
61;9.173868421;9.173868421
64;9.182447368;9.182447368
67;9.207368421;9.207368421
70;9.185868421;9.185868421
73;9.187894737;9.187894737
76;9.216842105;9.216842105
79;9.203184211;9.203184211
82;9.195868421;9.195868421
85;9.219289474;9.219289474
88;9.216842105;9.216842105
91;9.215;9.215
94;9.189947368;9.189947368
97;9.208157895;9.208157895
100;9.240578947;9.240578947
